Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;
apatinib;C553458;;Arthritis, Rheumatoid;MESH:D001172;;CAT|CP|VEGFA;8.74;3;;;;;;;;;;;
tubocapsenolide A;C000721052;;Arthritis, Rheumatoid;MESH:D001172;;CDK6|IL6|MMP2;8.74;4;;;;;;;;;;;
aroclor 1248;C028617;12672-29-6;Arthritis, Rheumatoid;MESH:D001172;;IL1B|IL6|TNF;8.73;7;;;;;;;;;;;
13;14-dihydro-15-ketoprostaglandin D2;C034832;59894-07-4;Arthritis, Rheumatoid;MESH:D001172;;CXCL2|GATA3;8.72;2;;;;;;;;;;
protoporphyrin IX;C028025;553-12-8;Arthritis, Rheumatoid;MESH:D001172;;MMP2|PTGS2|TNF;8.72;8;;;;;;;;;;;
2-(4-nitrophenyl)-4-(4-fluorophenyl)-5-(4-pyridinyl)-1H-imidazole;C408604;;Arthritis, Rheumatoid;MESH:D001172;;BMP6|PTGS2|TNF;8.71;8;;;;;;;;;;;
chrysophanic acid;C027113;481-74-3;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ABCC4|AHR;8.71;2;;;;;;;;;;;
Coal;D003031;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|FCGR2A|IFNG|IL1B|IL6|PLEK|PRKCQ;8.70;8;;;;;;;;;;;
solasodine;C012037;126-17-0;Arthritis, Rheumatoid;MESH:D001172;;IL1B|MMP2|TNF;8.70;7;;;;;;;;;;;
beauvericin;C004456;26048-05-5;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|CAT|CTSD|CXCL8|PTPRC|TXNIP;8.69;8;;;;;;;;;;;
Heparitin Sulfate;D006497;9050-30-0;Arthritis, Rheumatoid;MESH:D001172;;BMP6|CP|VEGFA;8.69;3;;;;;;;;;;;
sodium p-perfluorous nonenoxybenzene sulfonate;C000723136;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL1B|IL6;8.69;4;;;;;;;;;;;
JP8 aviation fuel;C098607;;Sjogren's Syndrome;MESH:D012859;;DGKQ|GTF2I|IL12A|IRAK1BP1|ITSN2|PHIP|PRDM1|STAT4|TNIP1;8.69;2;;;;;;;;;;;
Dioctyl Sulfosuccinic Acid;D004143;10041-19-7;Arthritis, Rheumatoid;MESH:D001172;;ADIPOQ|IL6|PTGS2;8.67;4;;;;;;;;;;;
dopexamine;C046318;;Arthritis, Rheumatoid;MESH:D001172;;CXCL2|IL6;8.66;3;;;;;;;;;;;
Plicamycin;D008926;18378-89-7;Arthritis, Rheumatoid;MESH:D001172;;DDIT4|IFNG|PON1;8.66;3;;;;;;;;;;;
Chir 99021;C473711;;Arthritis, Rheumatoid;MESH:D001172;;ACAN|AHR|BMP4|CSF2|MMP2|RUNX2;8.65;5;;;;;;;;;;;
desloratadine;C121345;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|CXCL8;8.65;5;;;;;;;;;;;
protein-bound polysaccharide K; Basidiomycetes;C494124;;Arthritis, Rheumatoid;MESH:D001172;;IFNG|SOD2;8.65;4;;;;;;;;;;
5;5-dimethyl-1-pyrroline-1-oxide;C017245;3317-61-1;Arthritis, Rheumatoid;MESH:D001172;;CAT|MPO;8.64;2;;;;;;;;;;
potassium superoxide;C039316;12030-88-5;Arthritis, Rheumatoid;MESH:D001172;;MPO|PTGS2;8.64;4;;;;;;;;;;;
Dicloxacillin;D004009;3116-76-5;Arthritis, Rheumatoid;MESH:D001172;;AGER|CXCL2|IL1B;8.63;5;;;;;;;;;;;
isoscutellarein;C000722867;;Arthritis, Rheumatoid;MESH:D001172;;ADIPOQ|TNF;8.63;6;;;;;;;;;;;
N-oleoylethanolamine;C033595;111-58-0;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|PTGS2;8.63;4;;;;;;;;;;;
triphenyltin;C030665;;Arthritis, Rheumatoid;MESH:D001172;;ENO1|HSD11B1|NCF1|NCF2|NR4A3;8.62;4;;;;;;;;;;;
dimethoxycurcumin;C521105;;Arthritis, Rheumatoid;MESH:D001172;;CAT|SOD2|TNF;8.61;8;;;;;;;;;;;
fluoroaluminum;C053629;21330-18-7;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|PTK2;8.61;3;;;;;;;;;;;
brusatol;C020237;14907-98-3;Arthritis, Rheumatoid;MESH:D001172;;CAT|CTSD|IL1B;8.60;4;;;;;;;;;;;
flusilazole;C061365;85509-19-9;Arthritis, Rheumatoid;MESH:D001172;;BMP4|COL2A1|DDIT4|DNASE1L3|HOXD11|IRF8|LHX2|TXNIP;8.60;8;;;;;;;;;;;
nornicotine;C005311;5746-86-1;Arthritis, Rheumatoid;MESH:D001172;;AGER|VEGFA;8.60;2;;;;;;;;;;;
methylarsine oxide;C080197;593-58-8;Arthritis, Rheumatoid;MESH:D001172;;ABCG2|CIITA|ENO1|IL6R|MMP12|PADI4|PTGS2|PTPRC|TNFAIP3|TXNIP;8.59;11;;;;;;;;;;;
Nicotinamide Mononucleotide;D009537;1094-61-7;Arthritis, Rheumatoid;MESH:D001172;;IL18|IL1B|TXNIP;8.59;5;;;;;;;;;;;
STO 609;C458525;;Arthritis, Rheumatoid;MESH:D001172;;AHR|CXCL8|F2;8.59;4;;;;;;;;;;;
Anticonvulsants;D000927;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC5|ABCG2;8.58;3;;;;;;;;;;;
Cilostazol;D000077407;73963-72-1;Arthritis, Rheumatoid;MESH:D001172;;IL1B|IL6|PTGS2|TNF;8.58;8;;;;;;;;;;;
exemestane;C056516;107868-30-4;Arthritis, Rheumatoid;MESH:D001172;;CD83|HOXD11|TNFRSF14;8.57;3;;;;;;;;;;;
perfosfamide;C011272;39800-16-3;Arthritis, Rheumatoid;MESH:D001172;;FASLG|HOXD10|TNF|VEGFA;8.57;8;;;;;;;;;;;
4-(4-(3-adamantan-1-ylureido)cyclohexyloxy)benzoic acid;C524106;;Arthritis, Rheumatoid;MESH:D001172;;IL6|PTGS2|TNF;8.56;7;;;;;;;;;;;
luteolin-7-glucoside;C066408;;Arthritis, Rheumatoid;MESH:D001172;;CAT|IL6|TNF;8.56;6;;;;;;;;;;;
Trientine;D014266;112-24-3;Arthritis, Rheumatoid;MESH:D001172;;AGER|ANXA3|CP|CXCL8|SOD2;8.56;8;;;;;;;;;;;
Tobacco Smoke Pollution;D014028;;Sjogren's Syndrome;MESH:D012859;;DGKQ|FCGR2A|GTF2I|IL12A|IRAK1BP1|ITSN2|NCF1|PHIP|PRDM1|PTTG1|STAT4|TNFAIP3|TNIP1;8.56;3;;;;;;;;;;;
Cilastatin;D015377;82009-34-5;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|FASLG;8.55;3;;;;;;;;;;;
Inulin;D007444;9005-80-5;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ABCC3|ABCC4|ABCG2|ANXA3|BGN|CALD1|CAT|CD83|CTSD|DHFR|ENO1|F2|HSD11B1|MMP2|MTHFR|PXK|SLC25A12|SPRED2|TXNIP;8.55;12;;;;;;;;;;;
ODN2006;C000615642;;Arthritis, Rheumatoid;MESH:D001172;;IL10|IL6;8.55;3;;;;;;;;;;;
erucylphospho-N;N;N-trimethylpropylammonium;C472787;;Sjogren's Syndrome;MESH:D012859;;PRDM1|PTTG1|TNFAIP3|TNIP1;8.55;2;;;;;;;;;
Angiotensin II;D000804;11128-99-7;Arthritis, Rheumatoid;MESH:D001172;;IL1B|IL6|TNF;8.54;7;;;;;;;;;;;
Thioguanine;D013866;154-42-7;Arthritis, Rheumatoid;MESH:D001172;;ABCC4|ABCC5|FKBP5|IGFBP3;8.54;3;;;;;;;;;;;
azoximer bromide;C540909;;Arthritis, Rheumatoid;MESH:D001172;;IFNG|IL6;8.53;2;;;;;;;;;;;
cambinol;C510718;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC3;8.52;3;;;;;;;;;;;
glucuronoxylomannan;C027478;76082-65-0;Arthritis, Rheumatoid;MESH:D001172;;CTLA4|IL10;8.52;4;;;;;;;;;;;
Asbestos; Serpentine;D017632;;Sjogren's Syndrome;MESH:D012859;;PRDM1|STAT4|TNFAIP3|TNIP1;8.52;2;;;;;;;;;;
2-methoxy-N-(3-methyl-2-oxo-1;2;3;4-tetrahydroquinazolin-6-yl)benzenesulfonamide;C577942;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL1B|IL6;8.51;4;;;;;;;;
LY 215840;C074025;137328-52-0;Arthritis, Rheumatoid;MESH:D001172;;IL10|TNF;8.51;6;;;;;;;;;;;
Nonoxynol;D017137;26027-38-3;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL1B;8.51;4;;;;;;;;;;;
Derp2 allergen; Dermatophagoides pteronyssinus;C559662;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL6;8.50;3;;;;;;;;;;
Octreotide;D015282;83150-76-9;Arthritis, Rheumatoid;MESH:D001172;;BMP4|BMP6|FASLG|TNF|VEGFA;8.50;7;;;;;;;;;;;
regorafenib;C559147;;Arthritis, Rheumatoid;MESH:D001172;;FASLG|SOD2|VEGFA;8.50;5;;;;;;;;;;;
1-naphthylethyl-6;7-dihydroxy-1;2;3;4-tetrahydroisoquinoline;C471009;;Arthritis, Rheumatoid;MESH:D001172;;IFNG|TNF;8.49;5;;;;;;;
4-(4-(4-chloro-phenyl)thiazol-2-ylamino)phenol;C525025;;Arthritis, Rheumatoid;MESH:D001172;;TNF|VEGFA;8.49;6;;;;;;;;;;;
Ammonium Sulfate;D000645;7783-20-2;Arthritis, Rheumatoid;MESH:D001172;;IFNG|TNF;8.49;5;;;;;;;;;;;
Flupenthixol;D005475;2709-56-0;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|PTGS1|PTGS2;8.49;5;;;;;;;;;;;
Benzofurans;D001572;;Arthritis, Rheumatoid;MESH:D001172;;AHR|CXCL8|IL6;8.47;4;;;;;;;;;;;
BMS 536924;C504983;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2;8.47;3;;;;;;;;;;;
kamebakaurin;C047382;73981-34-7;Arthritis, Rheumatoid;MESH:D001172;;BCL2A1|TNF;8.47;6;;;;;;;;;;;
methanandamide;C088155;150314-39-9;Arthritis, Rheumatoid;MESH:D001172;;IL1B|MMP2|PTGS2;8.47;6;;;;;;;;;;;
N4-(2;2-dimethyl-3-oxo-4H-pyrid(1;4)oxazin-6-yl)-5-fluoro-N2-(3;4;5-trimethoxyphenyl)-2;4-pyrimidinediamine;C510788;;Arthritis, Rheumatoid;MESH:D001172;;IL1B|STAT1|TNF;8.47;7;;;;;;
Nitric Oxide Donors;D020030;;Arthritis, Rheumatoid;MESH:D001172;;IFNG|IL10|TNF;8.47;6;;;;;;;;;;;
S;S'-(2-(dimethylamino)-1;3-propanediyl)thiosulfuric acid ester;C049599;98968-92-4;Arthritis, Rheumatoid;MESH:D001172;;CAT|COL2A1;8.47;3;;;;;;;;;
alpha-damascone;C496116;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|TNF;8.46;7;;;;;;;;;;;
CP 31398;C402665;;Arthritis, Rheumatoid;MESH:D001172;;CCN1|IL2RB|TFPI2;8.46;5;;;;;;;;;;;
Hexanes;D006586;;Arthritis, Rheumatoid;MESH:D001172;;CSF2|CXCL8;8.46;3;;;;;;;;;;;
manganese sulfate;C039798;7785-87-7;Arthritis, Rheumatoid;MESH:D001172;;CXCL2|IL6|TNF;8.46;7;;;;;;;;;;;
N-vinyl-2-pyrrolidinone;C042670;88-12-0;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ABCC3|HDAC1;8.46;2;;;;;;;;;;;
solithromycin;C547755;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|TNF;8.46;7;;;;;;;;;;;
sulfamic acid;C005741;5329-14-6;Arthritis, Rheumatoid;MESH:D001172;;IL18|STS;8.45;2;;;;;;;;;;;
afuresertib;C000593263;;Arthritis, Rheumatoid;MESH:D001172;;ABCC3|DHFR|IGFBP3|IKZF3|MTHFR|TMPO|TNF|TNFRSF14;8.43;11;;;;;;;;;;;
SCH 23390;C534628;;Arthritis, Rheumatoid;MESH:D001172;;ABCG2|CCN1|DDIT4|IL10|NR4A3|TLR2|VEGFA;8.43;6;;;;;;;;;;;
tibolone;C027385;;Arthritis, Rheumatoid;MESH:D001172;;CRP|FKBP5|TLR2;8.43;3;;;;;;;;;;;
araloside A;C071578;7518-22-1;Arthritis, Rheumatoid;MESH:D001172;;IL1B|IL6;8.42;4;;;;;;;;;;;
camostat;C034532;;Arthritis, Rheumatoid;MESH:D001172;;CCN2|CYBB|TNF;8.42;7;;;;;;;;;;;
Dimethylformamide;D004126;68-12-2;Arthritis, Rheumatoid;MESH:D001172;;CAT|MAB21L2|MPO|NCF1;8.42;5;;;;;;;;;;;
Glycolipids;D006017;;Arthritis, Rheumatoid;MESH:D001172;;IL1B|IL6;8.42;4;;;;;;;;;;;
LY 311727;C095553;;Arthritis, Rheumatoid;MESH:D001172;;PTGS2|TNF;8.42;7;;;;;;;;;;;
gedunin;C106014;2753-30-2;Arthritis, Rheumatoid;MESH:D001172;;ARID5B|DDIT4|IL1RN|TXNIP;8.41;5;;;;;;;;;;;
profenofos;C024273;41198-08-7;Arthritis, Rheumatoid;MESH:D001172;;CAT|CXCL8|IL1B|TNF;8.41;7;;;;;;;;;;;
acalabrutinib;C000604908;;Arthritis, Rheumatoid;MESH:D001172;;CRP|IL6;8.39;3;;;;;;;;;;;
Remifemin;C073419;;Arthritis, Rheumatoid;MESH:D001172;;IL6|RUNX2;8.39;3;;;;;;;;;;;
Levodopa;D007980;;Arthritis, Rheumatoid;MESH:D001172;;ADORA2A|CAT|GRK6|PTGS1|RASGRP1|SOD2;8.38;8;;;;;;;;;;;
Methacholine Chloride;D016210;62-51-1;Arthritis, Rheumatoid;MESH:D001172;;AHR|IL1RN|TNF;8.38;8;;;;;;;;;;;
6-hydroxy-3-O-methylkaempferol 6-O-glucopyranoside;C000625361;;Arthritis, Rheumatoid;MESH:D001172;;STAT1|TYK2;8.37;3;;;;;;;;;;;
7-chloro-3-imino-5-methyl-2-azabicyclo(4.1.0)heptane;C407360;;Arthritis, Rheumatoid;MESH:D001172;;IL6|TNF;8.37;6;;;;;;;;;;;
AM 1241;C439263;;Arthritis, Rheumatoid;MESH:D001172;;IL1B|IL6|TNF;8.37;7;;;;;;;;;;;
angoline;C113966;21080-31-9;Arthritis, Rheumatoid;MESH:D001172;;IL6|TNF;8.37;6;;;;;;;;;;;
beta-tricalcium phosphate;C485817;;Arthritis, Rheumatoid;MESH:D001172;;IL1B|TNF;8.37;6;;;;;;;;;;;
budlein A;C520233;;Arthritis, Rheumatoid;MESH:D001172;;IL1B|TNF;8.37;6;;;;;;;;;;;
Chromones;D002867;;Arthritis, Rheumatoid;MESH:D001172;;IL6|TNF;8.37;6;;;;;;;;;;;
indium tin oxide;C109984;71243-84-0;Arthritis, Rheumatoid;MESH:D001172;;CSF2|IL6;8.37;3;;;;;;;;;;;
Interferon alpha-2;D000077190;;Arthritis, Rheumatoid;MESH:D001172;;STAT1|TYK2;8.37;3;;;;;;;;;;;
JTE 607;C468268;;Arthritis, Rheumatoid;MESH:D001172;;IL6|TNF;8.37;6;;;;;;;;;;;
Poloxalene;D011060;06/11/9003;Arthritis, Rheumatoid;MESH:D001172;;IL1B|TNF;8.37;6;;;;;;;;;;;
Poly A-U;D011063;24936-38-7;Arthritis, Rheumatoid;MESH:D001172;;IL6|TNF;8.37;6;;;;;;;;;;;
potassium tetraperoxochromate;C019537;12331-76-9;Arthritis, Rheumatoid;MESH:D001172;;IL6|TNF;8.37;6;;;;;;;;;;;
ridaifen-B;C528171;;Arthritis, Rheumatoid;MESH:D001172;;IL6|TNF;8.37;6;;;;;;;;;;;
sulbutiamine;C031331;3286-46-2;Arthritis, Rheumatoid;MESH:D001172;;IL1B|TNF;8.37;6;;;;;;;;;;;
vesnarinone;C041667;81840-15-5;Arthritis, Rheumatoid;MESH:D001172;;IL6|TNF;8.37;6;;;;;;;;;;;
chlorocresol;C006984;59-50-7;Arthritis, Rheumatoid;MESH:D001172;;AHR|IL10;8.36;3;;;;;;;;;;;
schizandrin B;C015499;;Arthritis, Rheumatoid;MESH:D001172;;ABCG2|ADIPOQ|AHR|ATIC|B3GNT2|CAT|DHFR|F2|GPRC5A|IL23A|LCN2|MMP10|PON1|REL|RUNX1|SLC25A12|SOD2|STAT1|TXNDC5|TYK2;8.36;18;;;;;;;;;;;
Hymecromone;D006923;90-33-5;Arthritis, Rheumatoid;MESH:D001172;;ABCG2|ADIPOQ|CAT;8.35;3;;;;;;;;;;;
2;2'-dihydroxychalcone;C552398;;Arthritis, Rheumatoid;MESH:D001172;;AHR|IFNG;8.34;2;;;;;;;;;;
Andrographis paniculata extract;C000713167;;Arthritis, Rheumatoid;MESH:D001172;;DNASE1L3|IL18|IL1B|IL6|STAT1|TNF;8.34;11;;;;;;;;;;;
Ro 41-5253;C084904;144092-31-9;Arthritis, Rheumatoid;MESH:D001172;;IFNG|IL10|STAT1;8.34;3;;;;;;;;;;;
tris(chloroethyl)phosphate;C031324;;Arthritis, Rheumatoid;MESH:D001172;;CAT|IL6|IL6R|RUNX2|SOD2;8.34;8;;;;;;;;;;;
diflorasone;C014477;;Arthritis, Rheumatoid;MESH:D001172;;CXCL2|IL6;8.33;3;;;;;;;;;;;
lipopolysaccharide; Escherichia coli O111 B4;C440499;;Sjogren's Syndrome;MESH:D012859;;IL12A|NCF1|TNFAIP3;8.31;3;;;;;;;;;;
5-hydroxy-7-methoxyflavone;C574159;;Arthritis, Rheumatoid;MESH:D001172;;ADIPOQ|TNF;8.30;6;;;;;;;;;;;
TPD7 compound;C000604982;;Arthritis, Rheumatoid;MESH:D001172;;CXCR4|MMP2;8.30;2;;;;;;;;;;;
triethanolamine;C009546;102-71-6;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IFNG;8.30;3;;;;;;;;;;;
Immune Checkpoint Inhibitors;D000082082;;Arthritis, Rheumatoid;MESH:D001172;;IFNG|MIF;8.29;2;;;;;;;;;;;
Ketotifen;D007665;34580-13-7;Arthritis, Rheumatoid;MESH:D001172;;IL1B|IL6|TNF;8.29;7;;;;;;;;;;;
acifluorfen-methyl;C064882;50594-67-7;Arthritis, Rheumatoid;MESH:D001172;;AHR|CAT;8.27;2;;;;;;;;;;;
Cholera Toxin;D002772;9012-63-9;Arthritis, Rheumatoid;MESH:D001172;;IFNG|PTGS2|TNF;8.27;7;;;;;;;;;;;
Vemurafenib;D000077484;;Arthritis, Rheumatoid;MESH:D001172;;CD40|FASLG|PTGS2|TNF;8.27;11;;;;;;;;;;;
varespladib methyl;C545088;;Arthritis, Rheumatoid;MESH:D001172;;IL1B|MMP2;8.26;4;;;;;;;;;;;
leptomycin B;C038753;87081-35-4;Sjogren's Syndrome;MESH:D012859;;PTTG1|STAT4;8.26;2;;;;;;;;;;;
Anacardic Acids;D048729;;Arthritis, Rheumatoid;MESH:D001172;;CAT|SOD2;8.25;4;;;;;;;;;;;
pirinixic acid;C006253;50892-23-4;Sjogren's Syndrome;MESH:D012859;;FCGR2A|GTF2I|IL12A|IRAK1BP1|ITSN2|NCF1|PHIP|PTTG1|TNFAIP3|TNIP1;8.25;3;;;;;;;;;;;
isonicotinamide;C027681;1453-82-3;Arthritis, Rheumatoid;MESH:D001172;;RUNX2|TNFRSF11B;8.24;2;;;;;;;;;;;
huanglian-jie-du decoction;C000605453;;Arthritis, Rheumatoid;MESH:D001172;;IL10|IL6;8.23;3;;;;;;;;;;;
L-161982;C508711;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|PTGS2;8.23;3;;;;;;;;;;;
Polymethyl Methacrylate;D019904;9011-14-7;Arthritis, Rheumatoid;MESH:D001172;;IL23A|IL6;8.23;2;;;;;;;;;;;
protoapigenone;C524112;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCG2;8.23;3;;;;;;;;;;;
taxane;C080625;1605-68-1;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCG2;8.23;3;;;;;;;;;;;
belinostat;C487081;;Arthritis, Rheumatoid;MESH:D001172;;ACKR3|CCN1|CCN2|CXCL8|GATA3|GRK6|HAPLN1|IFNG|IL6|LHX2;8.22;6;;;;;;;;;;;
carnosol;C068623;;Arthritis, Rheumatoid;MESH:D001172;;AHR|IFNG|TNF;8.22;6;;;;;;;;;;;
Dust;D004391;;Sjogren's Syndrome;MESH:D012859;;IL12A|TNFAIP3|TNIP1;8.22;2;;;;;;;;;;;
7;12-benz(a)anthraquinone;C077646;2498-66-0;Arthritis, Rheumatoid;MESH:D001172;;AHR|CXCR4|SOD2;8.21;5;;;;;;;;;;
Palladium;D010165;03/05/7440;Arthritis, Rheumatoid;MESH:D001172;;HLA-DRB1|PON1;8.21;4;;;;;;;;;;;
Selenic Acid;D064586;;Arthritis, Rheumatoid;MESH:D001172;;AHR|PON1|SOD2;8.20;5;;;;;;;;;;;
tetrahydropalmatine;C014215;10097-84-4;Arthritis, Rheumatoid;MESH:D001172;;CALD1|GGH|SLC22A4|SMS|STAT1;8.20;5;;;;;;;;;;;
Endocrine Disruptors;D052244;;Arthritis, Rheumatoid;MESH:D001172;;CAT|DDIT4|ENO1|SLC11A1|TFPI2;8.18;5;;;;;;;;;;;
KB R7785;C107086;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL1B;8.18;4;;;;;;;;;;;
luliconazole;C112528;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|STAT1;8.18;3;;;;;;;;;;;
octanoic acid;C031492;124-07-2;Arthritis, Rheumatoid;MESH:D001172;;ATIC|CAT|CRP|CXCL8|DDX6|IL1B;8.18;7;;;;;;;;;;;
atheronal-A;C512174;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL6;8.17;3;;;;;;;;;;;
CAY 10499;C534918;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL6;8.17;3;;;;;;;;;;;
euxanthone;C404221;529-61-3;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL6;8.17;3;;;;;;;;;;;
Thymidine;D013936;50-89-5;Arthritis, Rheumatoid;MESH:D001172;;CSF2|CXCL8|FASLG;8.17;4;;;;;;;;;;;
tiotidine;C023990;;Arthritis, Rheumatoid;MESH:D001172;;CD40|PTPRC;8.17;3;;;;;;;;;;;
2;2';3;5';6-pentachlorobiphenyl;C032904;38379-99-6;Arthritis, Rheumatoid;MESH:D001172;;ABCC3|CAT|SOD2;8.16;5;;;;;;;
4-bromophenacyl bromide;C006821;99-73-0;Arthritis, Rheumatoid;MESH:D001172;;IFNG|TNF;8.16;5;;;;;;;;;;;
4-hydroxymercuribenzoate;C030601;138-85-2;Arthritis, Rheumatoid;MESH:D001172;;GGH|PON1;8.16;2;;;;;;;;;;;
Agrochemicals;D016573;;Arthritis, Rheumatoid;MESH:D001172;;CAT|PON1;8.16;2;;;;;;;;;;;
diacetyldichlorofluorescein;C029569;2044-85-1;Arthritis, Rheumatoid;MESH:D001172;;SOD2|TNF;8.16;8;;;;;;;;;;;
Erythrosine;D004923;16423-68-0;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|TNF|VEGFA;8.16;8;;;;;;;;;;;
Methadone;D008691;76-99-3;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|IL10|IL1B|IL6|TNF;8.16;10;;;;;;;;;;;
WZ4003;C586755;;Arthritis, Rheumatoid;MESH:D001172;;ADIPOQ|CXCL8;8.16;3;;;;;;;;;;;
boldine methine;C506830;;Arthritis, Rheumatoid;MESH:D001172;;CXCL2|CXCL8;8.15;3;;;;;;;;;;;
6-(bromomethylene)tetrahydro-3-(1-naphthaleneyl)-2H-pyran-2-one;C068314;88070-98-8;Arthritis, Rheumatoid;MESH:D001172;;ALOX5|IL1B;8.14;4;;;;;;;;;;;
Amygdalin;D000678;29883-15-6;Arthritis, Rheumatoid;MESH:D001172;;PTGS1|PTGS2;8.14;3;;;;;;;;;;;
zomepirac;C020549;33369-31-2;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|IL6|LCN2;8.14;4;;;;;;;;;;;
1-(4-hydroxyiminomethylpyridinium)-4-(4-carbamoylpyridinium)butane;C488676;;Arthritis, Rheumatoid;MESH:D001172;;CAT|IL6;8.13;2;;;;;;;;;;;
7-hydroxystaurosporine;C054852;112953-11-4;Arthritis, Rheumatoid;MESH:D001172;;CDK6|DHFR|STS;8.13;3;;;;;;;;;;;
Kangen-karyu;C468270;;Arthritis, Rheumatoid;MESH:D001172;;AGER|PTGS2|VEGFA;8.13;4;;;;;;;;;;;
phoxim;C003135;;Arthritis, Rheumatoid;MESH:D001172;;IL1B|IL6|TNF;8.13;7;;;;;;;;;;;
Shiga Toxin 1;D022622;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|TNF;8.13;7;;;;;;;;;;;
virodhamine;C456739;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|TNF;8.13;7;;;;;;;;;;;
Hydroxyurea;D006918;127-07-1;Arthritis, Rheumatoid;MESH:D001172;;ALOX5|CAT|LHX2|RUNX1|RUNX2|SLC22A4|TNF;8.12;10;;;;;;;;;;;
ar-turmerone;C078098;532-65-0;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|AHR;8.11;3;;;;;;;;;;;
cinobufagin;C002471;470-37-1;Arthritis, Rheumatoid;MESH:D001172;;RUNX1|TNF|TXNIP;8.11;7;;;;;;;;;;;
nutlin 3;C482205;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|FASLG;8.11;4;;;;;;;;;;;
palmitoleic acid;C008757;2091-29-4;Arthritis, Rheumatoid;MESH:D001172;;IL6|PON1;8.11;3;;;;;;;;;;;
6-(4-(3-(methylsulfonyl)benzylamino)-5-(trifluoromethyl)pyrimidin-2-ylamino)-3;4-dihydroquinolin-2(1H)-one;C521108;;Arthritis, Rheumatoid;MESH:D001172;;MMP2|PTK2;8.10;2;;;;;;;;;;
diethyl malate;C058705;03/12/7554;Arthritis, Rheumatoid;MESH:D001172;;COL2A1|IL18|STAT1|TNFRSF11B;8.10;5;;;;;;;;;;;
cacospongionolide B;C098384;;Arthritis, Rheumatoid;MESH:D001172;;PTGS2|TNF;8.09;7;;;;;;;;;;;
Estrone;D004970;53-16-7;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCG2|ATIC|GC|IL6|MMP2|STS|TNF|TXNDC5;8.09;13;;;;;;;;;;;
forsythiaside;C058049;;Arthritis, Rheumatoid;MESH:D001172;;PTGS2|TNF;8.09;7;;;;;;;;;;;
ethylenediamine;C031234;;Arthritis, Rheumatoid;MESH:D001172;;CXCL8|MPO;8.08;4;;;;;;;;;;;
Phosphorylcholine;D010767;107-73-3;Arthritis, Rheumatoid;MESH:D001172;;CRP|TNF;8.08;6;;;;;;;;;;;
Cefepime;D000077723;88040-23-7;Arthritis, Rheumatoid;MESH:D001172;;CAT|DHFR|HLA-DRB1;8.07;5;;;;;;;;;;;
des-aspartate-angiotensin I;C529402;;Arthritis, Rheumatoid;MESH:D001172;;CYBB|MPO;8.07;3;;;;;;;;;;;
ropinirole;C046649;91374-21-9;Arthritis, Rheumatoid;MESH:D001172;;CAT|IL1B|TNF;8.07;6;;;;;;;;;;;
abemaciclib;C000590451;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCG2|CDK6;8.06;4;;;;;;;;;;;
hyodeoxycholic acid;C010471;83-49-8;Arthritis, Rheumatoid;MESH:D001172;;AHR|HSD11B1;8.06;2;;;;;;;;;;;
