Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;;;;
bisphenol S;C543008;80-09-1;Dysmenorrhea;MESH:D004412;;OXT;4.09;1;;;;;;;;;;;;;;
Raloxifene Hydrochloride;D020849;;Dysmenorrhea;MESH:D004412;;AVP|OXT;4.09;1;;;;;;;;;;;;;;
Tetrachlorodibenzodioxin;D013749;1746-01-6;EPISODIC PAIN SYNDROME, FAMILIAL, 3;OMIM:615552;;SCN11A;4.09;1;;;;;;;;;;;;;;
Naproxen;D009288;22204-53-1;Eye Pain;MESH:D058447;;POMC;4.09;1;;;;;;;;;;;;;;
JTP 4819;C094211;;Headache;MESH:D006261;;OXT;4.09;1;;;;;;;;;;;;;;
2;2-bis(4-hydroxyphenyl)-1;1;1-trichloroethane;C404910;2971-36-0;Musculoskeletal Pain;MESH:D059352;;ESR1;4.09;1;;;;;;;;;;;
Aldrin;D000452;309-00-2;Musculoskeletal Pain;MESH:D059352;;ESR1;4.09;1;;;;;;;;;;;;;;
Butyrates;D002087;;Musculoskeletal Pain;MESH:D059352;;ESR1;4.09;1;;;;;;;;;;;;;;
Mercury;D008628;7439-97-6;Musculoskeletal Pain;MESH:D059352;;COMT;4.09;1;;;;;;;;;;;;;;
Methylene Chloride;D008752;75-09-2;Musculoskeletal Pain;MESH:D059352;;ESR1;4.09;1;;;;;;;;;;;;;;
resorcinol;C031389;108-46-3;Musculoskeletal Pain;MESH:D059352;;ESR1;4.09;1;;;;;;;;;;;;;;
sulindac sulfide;C025462;32004-67-4;Musculoskeletal Pain;MESH:D059352;;ESR1;4.09;1;;;;;;;;;;;;;;
6-Cyano-7-nitroquinoxaline-2;3-dione;D018750;115066-14-3;Neuralgia;MESH:D009437;;TAC1;4.09;1;;;;;;;;;;;;;
6-isopropoxy-9-oxoxanthene-2-carboxylic acid;C053876;33458-93-4;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.09;1;;;;;;;;;;;;;;
ammonium hexachloroplatinate;C018453;16919-58-7;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.09;1;;;;;;;;;;;;;;
Cetirizine;D017332;83881-51-0;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.09;1;;;;;;;;;;;;;;
Fludrocortisone;D005438;127-31-1;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.09;1;;;;;;;;;;;;;;
Formoterol Fumarate;D000068759;;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.09;1;;;;;;;;;;;;;;
NSC 23766;C487513;;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.09;1;;;;;;;;;;;;;;
sauchinone;C410958;;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.09;1;;;;;;;;;;;;;;
Trichloroacetic Acid;D014238;76-03-9;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.09;1;;;;;;;;;;;;;;
graphene oxide;C000628730;;Neuropathy, Painful;MESH:C564945;;HMGB1;4.09;1;;;;;;;;;;;;;;
1;5-dihydroxynaphthalene;C028289;83-56-7;Pain;MESH:D010146;;GRIN1;4.09;1;;;;;;;;;;;;;
18-hydroxycortisol;C033689;;Pain;MESH:D010146;;POMC;4.09;3;;;;;;;;;;;;;;
2-Aminoadipic Acid;D015074;542-32-5;Pain;MESH:D010146;;GRIN1;4.09;1;;;;;;;;;;;;;;
(2S*;3R*)-1-(biphenyl-4-carbonyl)piperazine-2;3-dicarboxylic acid;C491996;;Pain;MESH:D010146;;GRIN1;4.09;1;;;;;;;;;;;;
3-hexen-1-ol;C051918;928-96-1;Pain;MESH:D010146;;POMC;4.09;3;;;;;;;;;;;;;;
5-(alpha-methyl-4-bromobenzylamino)phosphonomethyl-1;4-dihydroquinoxaline-2;3-dione;C498554;;Pain;MESH:D010146;;GRIN1;4.09;1;;;;;;;;;;;;
5-Methoxytryptamine;D008735;608-07-1;Pain;MESH:D010146;;HTR7;4.09;1;;;;;;;;;;;;;;
5-methylurapidil;C057446;34661-85-3;Pain;MESH:D010146;;HTR1A;4.09;1;;;;;;;;;;;;;;
benzylphosphonic acid;C475503;6881-57-8;Pain;MESH:D010146;;POMC;4.09;3;;;;;;;;;;;;;;
digoxin-like factors;C034504;;Pain;MESH:D010146;;POMC;4.09;3;;;;;;;;;;;;;;
Methoxydimethyltryptamines;D008732;;Pain;MESH:D010146;;HTR7;4.09;1;;;;;;;;;;;;;;
Dicumarol;D001728;66-76-2;Pain, Intractable;MESH:D010148;;CXCL8;4.09;1;;;;;;;;;;;;;;
Leuprolide;D016729;53714-56-0;Pain, Intractable;MESH:D010148;;CXCL8;4.09;1;;;;;;;;;;;;;;
Milrinone;D020105;78415-72-2;Pain, Intractable;MESH:D010148;;CXCL8;4.09;1;;;;;;;;;;;;;;
MitoTEMPO;C555916;;Pain, Intractable;MESH:D010148;;CXCL8;4.09;1;;;;;;;;;;;;;;
Salicylic Acid;D020156;69-72-7;Pain, Intractable;MESH:D010148;;CXCL8;4.09;1;;;;;;;;;;;;;;
temsirolimus;C401859;;Pain, Intractable;MESH:D010148;;CXCL8;4.09;1;;;;;;;;;;;;;;
Formaldehyde;D005557;50-00-0;Pain, Postoperative;MESH:D010149;;ABCB1;4.09;1;;;;;;;;;;;;;;
tris(1;3-dichloro-2-propyl)phosphate;C016805;13674-87-8;Paroxysmal Extreme Pain Disorder;MESH:C563475;;SCN9A;4.09;3;;;;;;;;;;;;;
2;3;7;8-tetrachlorodibenzofuran;C014211;51207-31-9;Angina Pectoris;MESH:D000787;;AVP;4.08;2;;;;;;;;;;;
Nitric Oxide Donors;D020030;;Angina Pectoris;MESH:D000787;;AVP;4.08;2;;;;;;;;;;;;;;
alpha-pinene;C005451;80-56-8;Angina, Stable;MESH:D060050;;TLR4|TNF;4.08;1;;;;;;;;;;;;;;
1;3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole;C524478;;Angina, Unstable;MESH:D000789;;CXCL8;4.08;1;;;;;;;;;;;;;
3-acetyldeoxynivalenol;C043247;50722-38-8;Angina, Unstable;MESH:D000789;;CXCL8;4.08;1;;;;;;;;;;;;;;
afuresertib;C000593263;;Angina, Unstable;MESH:D000789;;PAPPA;4.08;1;;;;;;;;;;;;;;
Oxytetracycline;D010118;79-57-2;Angina, Unstable;MESH:D000789;;CXCL8;4.08;1;;;;;;;;;;;;;;
Qingdai compound;C530990;;Angina, Unstable;MESH:D000789;;CXCL8;4.08;1;;;;;;;;;;;;;;
7-bromoindirubin-3'-oxime;C514974;;Arthralgia;MESH:D018771;;CSF3;4.08;1;;;;;;;;;;;;;;
Copper Sulfate;D019327;7758-98-7;Back Pain;MESH:D001416;;PLAT;4.08;1;;;;;;;;;;;;;;
Particulate Matter;D052638;;Dysmenorrhea;MESH:D004412;;OXT;4.08;1;;;;;;;;;;;;;;
N-nitroso-tris-chloroethylurea;C572573;;Headache;MESH:D006261;;CSF3;4.08;1;;;;;;;;;;;;;;
Sunitinib;D000077210;;JANSEN-DE VRIES SYNDROME;OMIM:617450;;PPM1D;4.08;1;;;;;;;;;;;;;;
triptonide;C084079;38647-11-9;JANSEN-DE VRIES SYNDROME;OMIM:617450;;PPM1D;4.08;1;;;;;;;;;;;;;;
kaempferol;C006552;520-18-3;Musculoskeletal Pain;MESH:D059352;;ESR1;4.08;1;;;;;;;;;;;;;;
Valproic Acid;D014635;99-66-1;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1|GCH1;4.08;1;;;;;;;;;;;;;;
Interleukin 1 Receptor Antagonist Protein;D053590;;Neuralgia;MESH:D009437;;HMGB1;4.08;1;;;;;;;;;;;;;;
zinc chromate;C023616;13530-65-9;Neuralgia;MESH:D009437;;MIR135B;4.08;1;;;;;;;;;;;;;;
2;2-bis(4-glycidyloxyphenyl)propane;C019273;1675-54-3;Neuropathy, Painful;MESH:C564945;;HMGB1;4.08;1;;;;;;;;;;;;;
Nitric Oxide;D009569;10102-43-9;Neuropathy, Painful;MESH:C564945;;THBD;4.08;1;;;;;;;;;;;;;;
2;3-dihydroxynaphthalene;C053499;92-44-4;Pain;MESH:D010146;;COMT;4.08;1;;;;;;;;;;;;;
butein;C040918;487-52-5;Pain;MESH:D010146;;AKT1|TNF;4.08;3;;;;;;;;;;;;;;
Estazolam;D004949;29975-16-4;Pain;MESH:D010146;;TRH;4.08;1;;;;;;;;;;;;;;
idelalisib;C552946;;Pain;MESH:D010146;;AKT1|TNF;4.08;3;;;;;;;;;;;;;;
Metanephrine;D008676;5001-33-2;Pain;MESH:D010146;;COMT;4.08;1;;;;;;;;;;;;;;
Mevinphos;D008799;7786-34-7;Pain;MESH:D010146;;AKT1|IL2;4.08;2;;;;;;;;;;;;;;
Oligopeptides;D009842;;Pain;MESH:D010146;;AKT1|TNF;4.08;3;;;;;;;;;;;;;;
tetracycline CMT-3;C117155;;Pain;MESH:D010146;;AKT1|TNF;4.08;3;;;;;;;;;;;;;;
5;3'-dihydroxy-3;6;7;8;4'-pentamethoxyflavone;C094782;;Pain, Postoperative;MESH:D010149;;ABCB1;4.08;1;;;;;;;;;
amyloid beta-protein (1-40);C078592;;Pain, Postoperative;MESH:D010149;;ABCB1;4.08;1;;;;;;;;;;;;;;
butyraldehyde;C018475;123-72-8;Pain, Postoperative;MESH:D010149;;ABCB1|CRHR1;4.08;2;;;;;;;;;;;;;;
cholan-2;3;24-tryl-2;3;24-trisulfate;C561233;;Pain, Postoperative;MESH:D010149;;ABCB1;4.08;1;;;;;;;;;;
Digoxigenin;D004076;1672-46-4;Pain, Postoperative;MESH:D010149;;ABCB1;4.08;1;;;;;;;;;;;;;;
Gallopamil;D005711;16662-47-8;Pain, Postoperative;MESH:D010149;;ABCB1;4.08;1;;;;;;;;;;;;;;
gamma-terpinene;C018669;99-85-4;Pain, Postoperative;MESH:D010149;;ABCB1;4.08;1;;;;;;;;;;;;;;
naphthalenediimide;C542131;22291-04-9;Pain, Postoperative;MESH:D010149;;ABCB1;4.08;1;;;;;;;;;;;;;;
Saxitoxin;D012530;35523-89-8;Pain, Postoperative;MESH:D010149;;ABCB1;4.08;1;;;;;;;;;;;;;;
17-ethynyl-5-androstene-3;7; 17-triol;C524733;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;
2;4-decadienal;C057349;2363-88-4;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;
2-(4-nitrophenyl)-4-(4-fluorophenyl)-5-(4-pyridinyl)-1H-imidazole;C408604;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
4-(4-(3-adamantan-1-ylureido)cyclohexyloxy)benzoic acid;C524106;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
Angiotensin II;D000804;11128-99-7;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
apilimod;C504227;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
Arginine;D001120;74-79-3;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
avermectin;C019264;73989-17-0;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
butylphen;C006862;98-54-4;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
cinnabar;C034211;19122-79-3;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
Clenbuterol;D002976;37148-27-9;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
cyanidin;C017154;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
dimethoxycurcumin;C521105;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
di-n-butyltin;C056189;1002-53-5;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
etoxazole;C508136;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
HU 308;C402416;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
Lopinavir;D061466;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
luteolin-7-glucoside;C066408;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
myricitrin;C008577;17912-87-7;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
Peptides;D010455;;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
Prodigiosin;D011353;82-89-3;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
Roxarsone;D012406;121-19-7;Angina, Stable;MESH:D060050;;MMP9;4.07;1;;;;;;;;;;;;;;
tryptanthrine;C046243;13220-57-0;Angina, Stable;MESH:D060050;;TNF;4.07;1;;;;;;;;;;;;;;
dinophysistoxin 1;C051904;;Angina, Unstable;MESH:D000789;;PLAU;4.07;1;;;;;;;;;;;;;;
Diuron;D004237;330-54-1;Angina, Unstable;MESH:D000789;;PAPPA|PLAU;4.07;2;;;;;;;;;;;;;;
elesclomol;C512195;;Angina, Unstable;MESH:D000789;;CXCL8;4.07;1;;;;;;;;;;;;;;
flavone;C043562;525-82-6;Angina, Unstable;MESH:D000789;;CXCL8;4.07;1;;;;;;;;;;;;;;
Fluticasone;D000068298;;Angina, Unstable;MESH:D000789;;CXCL8;4.07;1;;;;;;;;;;;;;;
KN 62;C063302;127191-97-3;Angina, Unstable;MESH:D000789;;CXCL8;4.07;1;;;;;;;;;;;;;;
Moxifloxacin;D000077266;;Angina, Unstable;MESH:D000789;;CXCL8;4.07;1;;;;;;;;;;;;;;
Thiophenes;D013876;;Angina, Unstable;MESH:D000789;;CXCL8;4.07;1;;;;;;;;;;;;;;
ganoderic acid A;C515005;;Arthralgia;MESH:D018771;;MVK;4.07;1;;;;;;;;;;;;;;
Verteporfin;D000077362;129497-78-5;Arthralgia;MESH:D018771;;CSF3;4.07;1;;;;;;;;;;;;;;
N-(2(R)-2-(hydroxamidocarbonylmethyl)-4-methylpentanoyl)-L-tryptophan methylamide;C078131;;Back Pain;MESH:D001416;;PLAT;4.07;1;;;;;;;;;;;;;;
Oxygen;D010100;7782-44-7;Cancer Pain;MESH:D000072716;;TMPRSS2;4.07;1;;;;;;;;;;;;;;
Progesterone;D011374;57-83-0;Cancer Pain;MESH:D000072716;;TMPRSS2;4.07;1;;;;;;;;;;;;;;
Angiotensin-Converting Enzyme Inhibitors;D000806;;Dysmenorrhea;MESH:D004412;;AVP;4.07;1;;;;;;;;;;;;;;
Dinoprost;D015237;551-11-1;Dysmenorrhea;MESH:D004412;;OXT;4.07;1;;;;;;;;;;;;;;
linsidomine;C002385;;Dysmenorrhea;MESH:D004412;;AVP;4.07;1;;;;;;;;;;;;;;
deoxynivalenol;C007262;51481-10-8;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;4.07;1;;;;;;;;;;;;;;
Paraquat;D010269;4685-14-7;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;4.07;1;;;;;;;;;;;;;;
Dichlorvos;D004006;62-73-7;Eye Pain;MESH:D058447;;POMC;4.07;1;;;;;;;;;;;;;;
Levodopa;D007980;;Eye Pain;MESH:D058447;;POMC;4.07;1;;;;;;;;;;;;;;
Vancomycin;D014640;1404-90-6;Headache;MESH:D006261;;IL6;4.07;1;;;;;;;;;;;;;;
apigenin-6;8-di-C-glycopyranoside;C530449;;Low Back Pain;MESH:D017116;;PLAT;4.07;1;;;;;;;;;;;;;
boric acid;C032688;11113-50-1;Low Back Pain;MESH:D017116;;SPARC;4.07;1;;;;;;;;;;;;;;
4-nitrophenol;C024836;100-02-7;Musculoskeletal Pain;MESH:D059352;;ESR1;4.07;1;;;;;;;;;;;;;;
Dichlorvos;D004006;62-73-7;Musculoskeletal Pain;MESH:D059352;;ESR1;4.07;1;;;;;;;;;;;;;;
Gefitinib;D000077156;;Musculoskeletal Pain;MESH:D059352;;ESR1;4.07;1;;;;;;;;;;;;;;
Kangen-karyu;C468270;;Neuralgia;MESH:D009437;;AGER;4.07;1;;;;;;;;;;;;;;
N(1)-methylnicotinamide;C024058;;Neuralgia;MESH:D009437;;CYP17A1;4.07;1;;;;;;;;;;;;;;
norbinaltorphimine;C051844;105618-26-6;Neuralgia;MESH:D009437;;TAC1;4.07;1;;;;;;;;;;;;;;
pentabromophenol;C098189;608-71-9;Neuralgia;MESH:D009437;;CYP17A1;4.07;1;;;;;;;;;;;;;;
3-xylene;C031285;108-38-3;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.07;1;;;;;;;;;;;;;;
Active Hexose Correlated Compound;C499366;;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.07;1;;;;;;;;;;;;;;
hydroxyethyl methacrylate;C005044;868-77-9;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.07;1;;;;;;;;;;;;;;
hyperforin;C001654;11079-53-1;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.07;1;;;;;;;;;;;;;;
Methionine;D008715;63-68-3;Neuropathy, Painful;MESH:C564945;;HMGB1|THBD;4.07;1;;;;;;;;;;;;;;
pyrrolidine dithiocarbamic acid;C020972;25769-03-3;Neuropathy, Painful;MESH:C564945;;HMGB1;4.07;1;;;;;;;;;;;;;;
Thyroxine;D013974;7488-70-2;Neuropathy, Painful;MESH:C564945;;HMGB1;4.07;1;;;;;;;;;;;;;;
uranyl acetate;C005460;541-09-3;Neuropathy, Painful;MESH:C564945;;HMGB1;4.07;1;;;;;;;;;;;;;;
2-((3-acrylamido-4-methylphenyl)amino)-N-(2-methyl-5-(3;4;5-trimethoxybenzamido)phenyl)-4-(methylamino)pyrimidine-5-carboxamide;C000621655;;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;
Agrochemicals;D016573;;Pain;MESH:D010146;;OXT;4.07;2;;;;;;;;;;;;;;
biphenyl 2;3';4;5';6-pentakisphosphate;C519883;;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;
Dibutyryl Cyclic GMP;D003995;32266-35-6;Pain;MESH:D010146;;KNG1;4.07;7;;;;;;;;;;;;;;
dihydrolipoamide;C007409;3884-47-7;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;;;
gardenia yellow;C057653;;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;;;
Glycine;D005998;56-40-6;Pain;MESH:D010146;;CSF2|TNF;4.07;3;;;;;;;;;;;;;;
H-Arg-Pro-Arg-Nva-Tyr-Dap-Hol-NH2;C550755;;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;;;
inositol-1;3;4;5;6-pentakisphosphate;C451920;;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;
kalafungin;C013079;11048-15-0;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;;;
Mecamylamine;D008464;60-40-2;Pain;MESH:D010146;;AKT1|TNF|TRPV1;4.07;7;;;;;;;;;;;;;;
medermycin;C013104;60227-09-0;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;;;
Methacholine Chloride;D016210;62-51-1;Pain;MESH:D010146;;IL1RN|TNF;4.07;3;;;;;;;;;;;;;;
N-arachidonoylalanine;C483476;;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;;;
Thiram;D013893;137-26-8;Pain;MESH:D010146;;TNF;4.07;2;;;;;;;;;;;;;;
Vx-11e;C000708907;;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;;;
wendan;C528423;;Pain;MESH:D010146;;AKT1;4.07;1;;;;;;;;;;;;;;
ethyl 6-(N-(2-chloro-4-fluorophenyl)sulfamoyl)cyclohex-1-ene-1-carboxylate;C507035;;Pain, Intractable;MESH:D010148;;CXCL8;4.07;1;;;;;;;;;;;;;;
ferric chloride;C024555;7705-08-0;Pain, Intractable;MESH:D010148;;CXCL8;4.07;1;;;;;;;;;;;;;;
napabucasin;C000621033;;Pain, Intractable;MESH:D010148;;CXCL8;4.07;1;;;;;;;;;;;;;;
Oligomycins;D009840;;Pain, Intractable;MESH:D010148;;CXCL8;4.07;1;;;;;;;;;;;;;;
lead acetate;C008261;301-04-2;Toothache;MESH:D014098;;NPY1R;4.07;1;;;;;;;;;;;;;;
3-nitrofluoranthene;C033643;892-21-7;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
benzo(a)pyrene 7;8-dihydrodiol;C017228;13345-25-0;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;
benzyloxycarbonyl-isoleucyl-glutamyl-threonyl-aspartic acid fluoromethyl ketone;C403753;;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
Carbenoxolone;D002229;5697-56-3;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
ferric citrate;C025314;3522-50-7;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
flumequine;C012976;42835-25-6;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
geniposide;C007835;24512-63-8;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
gossypin;C022944;652-78-8;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
GSK-2816126;C577920;;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
JHW 015;C402944;;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
kahweol;C053401;6894-43-5;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
Kynurenic Acid;D007736;492-27-3;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
Nandrolone;D009277;434-22-0;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
perfluorooctanoic acid;C023036;335-67-1;Angina, Stable;MESH:D060050;;MMP9|TLR4|TNF;4.06;1;;;;;;;;;;;;;;
Polyribonucleotides;D011131;;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
Quinazolines;D011799;;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
resiniferatoxin;C024353;57444-62-9;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
Ryanodine;D012433;15662-33-6;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
tomentosin;C454646;;Angina, Stable;MESH:D060050;;TNF;4.06;1;;;;;;;;;;;;;;
2;3-bis(4-hydroxyphenyl)-propionitrile;C486182;;Angina, Unstable;MESH:D000789;;CXCL8;4.06;1;;;;;;;;;;;;;
acteoside;C058956;61276-17-3;Angina, Unstable;MESH:D000789;;CXCL8;4.06;1;;;;;;;;;;;;;;
Chlorpheniramine;D002744;132-22-9;Angina, Unstable;MESH:D000789;;CXCL8;4.06;1;;;;;;;;;;;;;;
Flunitrazepam;D005445;1622-62-4;Angina, Unstable;MESH:D000789;;CXCL8;4.06;1;;;;;;;;;;;;;;
lead chromate;C031895;11119-70-3;Angina, Unstable;MESH:D000789;;CXCL8;4.06;1;;;;;;;;;;;;;;
Pam(3)CSK(4) peptide;C508075;;Angina, Unstable;MESH:D000789;;CXCL8;4.06;1;;;;;;;;;;;;;;
Puromycin;D011691;53-79-2;Angina, Unstable;MESH:D000789;;CXCL8;4.06;1;;;;;;;;;;;;;;
tricarbonyldichlororuthenium (II) dimer;C447082;;Angina, Unstable;MESH:D000789;;CXCL8;4.06;1;;;;;;;;;;;;;;
Fulvestrant;D000077267;129453-61-8;Arthralgia;MESH:D018771;;CSF3;4.06;1;;;;;;;;;;;;;;
Nickel;D009532;7440-02-0;Cancer Pain;MESH:D000072716;;TMPRSS2;4.06;1;;;;;;;;;;;;;;
perfluorooctanoic acid;C023036;335-67-1;Cancer Pain;MESH:D000072716;;TMPRSS2;4.06;1;;;;;;;;;;;;;;
Sodium Glutamate;D012970;142-47-2;Chronic Pain;MESH:D059350;;SCN9A;4.06;1;;;;;;;;;;;;;;
Cadmium Chloride;D019256;10108-64-2;Dysmenorrhea;MESH:D004412;;AVP;4.06;1;;;;;;;;;;;;;;
Tobacco Smoke Pollution;D014028;;EPISODIC PAIN SYNDROME, FAMILIAL, 2;OMIM:615551;;SCN10A;4.06;1;;;;;;;;;;;;;;
Oxidopamine;D016627;1199-18-4;Eye Pain;MESH:D058447;;POMC;4.06;1;;;;;;;;;;;;;;
bisphenol F;C000611646;;JANSEN-DE VRIES SYNDROME;OMIM:617450;;PPM1D;4.06;1;;;;;;;;;;;;;;
dorsomorphin;C516138;;JANSEN-DE VRIES SYNDROME;OMIM:617450;;PPM1D;4.06;1;;;;;;;;;;;;;;
Amino Acids; Peptides; and Proteins;D000602;;Low Back Pain;MESH:D017116;;PLAT;4.06;1;;;;;;;;;;;;
Camptothecin;D002166;04/03/7689;Musculoskeletal Pain;MESH:D059352;;ESR1;4.06;1;;;;;;;;;;;;;;
Isoflavones;D007529;;Musculoskeletal Pain;MESH:D059352;;ESR1;4.06;1;;;;;;;;;;;;;;
naringenin;C005273;480-41-1;Musculoskeletal Pain;MESH:D059352;;ESR1;4.06;1;;;;;;;;;;;;;;
pyrazole;C031280;288-13-1;Musculoskeletal Pain;MESH:D059352;;ESR1;4.06;1;;;;;;;;;;;;;;
(2;3;5;6-tetrafluoro-4-methoxymethylphenyl)methyl-2;2-dimethyl-3-(1-propenyl)cyclopropanecarboxylate;C492600;;Neuralgia;MESH:D009437;;HMGB1;4.06;1;;;;;;;;;;
4-nitrophenol;C024836;100-02-7;Neuralgia;MESH:D009437;;NTRK1|TNF;4.06;2;;;;;;;;;;;;;;
anthranilic acid;C031385;118-92-3;Neuralgia;MESH:D009437;;IL12B;4.06;1;;;;;;;;;;;;;;
tanshinone II A sodium sulfonate;C024894;69659-80-9;Neuralgia;MESH:D009437;;HMGB1;4.06;1;;;;;;;;;;;;;;
acetylleucyl-leucyl-norleucinal;C063261;110044-82-1;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.06;1;;;;;;;;;;;;;;
Chalcones;D047188;;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.06;1;;;;;;;;;;;;;;
Platelet Activating Factor;D010972;;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.06;1;;;;;;;;;;;;;;
pyrvinium;C024631;7187-62-4;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.06;1;;;;;;;;;;;;;;
scoparone;C018145;120-08-1;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;4.06;1;;;;;;;;;;;;;;
Choline;D002794;62-49-7;Neuropathy, Painful;MESH:C564945;;HMGB1|THBD;4.06;1;;;;;;;;;;;;;;
edelfosine;C026659;65492-82-2;Pain;MESH:D010146;;TRPA1;4.06;1;;;;;;;;;;;;;;
N-nitroso-tris-chloroethylurea;C572573;;Pain;MESH:D010146;;AKT1|CSF3|TRPV1;4.06;8;;;;;;;;;;;;;;
Phosphates;D010710;;Pain;MESH:D010146;;AKT1|ALB|TNF;4.06;4;;;;;;;;;;;;;;
safranal;C087963;116-26-7;Pain;MESH:D010146;;TRPA1;4.06;1;;;;;;;;;;;;;;
Dimethoate;D004117;60-51-5;Pain, Intractable;MESH:D010148;;CXCL8;4.06;1;;;;;;;;;;;;;;
Estrogens; Conjugated (USP);D004966;;Pain, Intractable;MESH:D010148;;CXCL8;4.06;1;;;;;;;;;;;;;
